Point,Xmm,Ymm,Zmm
ETPC1_1,-273.781502,2570.41087,468.760591
ETPC1_4,-953.588275,2569.498437,1647.197482
ETPC2_1,-472.657862,2570.502002,268.230399
ETPC2_2,-1028.493235,2570.515625,590.593914
ETPC2_3,-1077.331807,2570.597739,616.929196
ETPC2_4,-1651.373607,2570.794054,949.314533
ETPC3_1,-545.122917,2570.550115,-3.853176
ETPC3_2,-1187.725049,2570.57121,-3.942828
ETPC3_3,-1243.712733,2570.698616,-3.855678
ETPC4_1,-472.281902,2570.581648,-275.693929
ETPC4_2,-1028.967094,2570.631863,-597.635257
ETPC4_3,-1076.828085,2570.637061,-625.251982
ETPC4_4,-1651.181645,2570.907894,-956.368832
ETPC5_1,-272.556822,2570.456762,-475.072293
ETPC5_2,-594.084097,2570.445709,-1031.586437
ETPC5_3,-620.409455,2569.928281,-1079.869734
ETPC5_4,-952.868454,2570.277235,-1653.948659
ETPC6_1,-0.360619,2570.355739,-548.005304
ETPC6_4,1.0219,2569.946043,-1907.339023
ETPC7_1,273.14861,2569.620759,-474.982977
ETPC7_2,594.927999,2569.499396,-1031.758697
ETPC7_3,621.967201,2569.455885,-1079.937777
ETPC7_4,953.637047,2569.689757,-1653.58357
ETPC8_1,471.528999,2570.161265,-275.862081
ETPC8_2,1028.430575,2569.862138,-597.454413
ETPC8_3,1076.587611,2569.8082,-624.394537
ETPC8_4,1649.617331,2570.758602,-955.803473
ETPC9_1,544.883116,2570.068449,-2.840636
ETPC9_2,1188.046903,2570.052437,-2.277653
ETPC9_3,1242.675736,2570.052975,-3.180694
ETPC10_1,471.20921,2570.195601,269.582692
ETPC10_2,1029.855899,2570.169638,592.291002
ETPC10_3,1075.545353,2570.11531,619.638762
ETPC10_4,1649.703005,2569.150371,950.792666
ETPC11_1,271.52534,2570.24859,468.935624
ETPC11_4,952.958465,2568.781385,1647.409912
ETPC12_1,-0.491913,2570.300596,542.172923
ETPC12_4,0.460643,2569.102532,1904.679294
WTPC1_1,269.464756,-2567.141761,467.468472
WTPC1_4,951.59727,-2567.989993,1646.338588
WTPC2_1,468.828744,-2567.240109,268.283639
WTPC2_2,1027.946135,-2567.396287,591.631109
WTPC2_3,1074.448091,-2567.332059,617.471743
WTPC2_4,1648.325826,-2567.775727,947.190439
WTPC3_1,542.690027,-2568.084246,-3.522717
WTPC3_2,1184.383247,-2567.212602,-3.701037
WTPC3_3,1240.936856,-2567.245643,-4.589222
WTPC4_1,469.758493,-2567.81836,-276.61968
WTPC4_2,1026.526141,-2567.112124,-598.421238
WTPC4_3,1073.563081,-2567.108933,-626.505249
WTPC4_4,1645.953339,-2567.441573,-956.063446
WTPC5_1,269.488746,-2567.757284,-477.157208
WTPC5_2,591.450732,-2567.535554,-1032.654044
WTPC5_3,620.053918,-2567.466469,-1080.455987
WTPC5_4,949.36776,-2566.639218,-1654.245336
WTPC6_4,-2.725392,-2566.3484,-1906.38146
WTPC7_1,-274.955206,-2567.848761,-475.067689
WTPC7_2,-596.45433,-2566.543243,-1033.058292
WTPC7_4,-956.170729,-2566.175031,-1653.883399
WTPC8_1,-475.05332,-2566.822318,-276.977083
WTPC8_2,-1031.703215,-2566.462262,-597.759632
WTPC8_3,-1079.592057,-2566.405308,-626.395482
WTPC8_4,-1651.928416,-2566.102685,-956.644709
WTPC9_1,-547.400106,-2566.943734,-4.1618
WTPC9_2,-1190.532792,-2566.491951,-3.894456
WTPC9_3,-1246.294882,-2566.510286,-3.821596
WTPC10_1,-474.949483,-2567.082983,268.387993
WTPC10_2,-1031.848885,-2566.755086,590.038754
WTPC10_3,-1080.261246,-2566.712561,617.86079
WTPC10_4,-1653.903092,-2566.083727,948.955343
WTPC11_1,-275.681298,-2567.160866,467.356265
WTPC11_3,-626.384019,-2566.80454,1074.197817
WTPC11_4,-955.625457,-2566.181596,1646.261453
WTPC12_1,-2.707306,-2567.19838,540.802619
,,,
x,beam right/left,,
y,Distance along beamline,,
z,Height,,
